"MESSAGE_CODE";"ORIGINAL_TEXT";"TRANSLATED_TEXT"
"APEXIR_SELECT_FUNCTION";"- Select Function -";"- Izberi funkcijo -"
"APEXIR_SUM_X";"Sum %0";"Vsota %0"
"APEXIR_TIME_MONTHS";"months";"mesecev"
"APEXIR_VIEW_DETAIL";"View Detail";"Poglej podrobnost"
"APEXIR_VIEW_ICONS";"View Icons";"Poglej ikone"
"APEXIR_X_HOURS";"%0 hours";"%0 ur"
"APEXIR_YEAR";"Year";"Leto"
"SINCE_DAYS_AGO";"%0 days ago";"Pred %0 dnevi"
"SINCE_HOURS_AGO";"%0 hours ago";"pred %0 urami"
"SINCE_SECONDS_FROM_NOW";"%0 seconds from now";"%0 sekund od sedaj"
"SINCE_WEEKS_FROM_NOW";"%0 weeks from now";"čez %0 tednov"
"WWV_RENDER_REPORT3.SORT_BY_THIS_COLUMN";"Sort by this column";"Razvrščanje po stolpcu."
"WWV_RENDER_REPORT3.UNSAVED_DATA";"This form contains unsaved changes. Press Ok to proceed without saving your changes.";"Obrazec vsebuje neshranjene spremembe. Pritisnite OK za nadaljevanje brez shranjevanja sprememb."
"WWV_RENDER_REPORT3.X_Y_OF_MORE_THAN_Z";"row(s) %0 - %1 of more than %2";"vrstica/e %0 - %1 od več kot %2"
"APEX.DATEPICKER.ICON_TEXT";"Popup Calendar: %0";"Koledar v pojavnem oknu: %0"
"APEX.ITEM_TYPE.SLIDER.VALUE_NOT_BETWEEN_MIN_MAX";"#LABEL# is not between the valid range of %0 and %1.";"#LABEL# ni med vrednostjo od %0 do %1."
"APEX.POPUP_LOV.ICON_TEXT";"Popup List of Values: %0.";"Pojavna lista vrednosti: %0."
"APEXIR_CONTROL_BREAK_COLUMNS";"Control Break Columns";"Stolpci za prelom"
"APEXIR_DELETE_DEFAULT_REPORT";"Delete Default Report";"Pobriši privzeto poročilo"
"APEXIR_GROUP_BY_SORT";"Group By Sort";"Grupiraj po razvrščanju"
"APEXIR_GROUP_BY_SORT_ORDER";"Group By Sort Order";"Grupiraj po vrstnem redu razvrščanja"
"APEXIR_HELP_SEARCH_BAR_ROWS";"<li><b>Rows</b> sets the number of records to display per page.</li>";"<li><b>Vrstice</b> nastavi število zapisov za prikaz na strani."
"APEXIR_INVALID_SETTINGS";"%0 invalid settings";"%0 neveljavnih nastavitev"
"APEXIR_NOT_VALID_EMAIL";"Not a valid email address.";"Ni veljaven e-poštni naslov."
"APEXIR_ROW_COL_DIFF_FROM_PIVOT_COL";"Row column must be different from the pivot column.";"Vrstica kolona mora biti različna od stolpca za vrtilno tabelo."
"APEXIR_SAVE_DEFAULT_REPORT";"Save Default Report";"Shrani privzeto poročilo"
"APEXIR_SELECTED_COLUMNS";"Selected Columns";"Izbrani stolpci"
"APEXIR_SELECT_PIVOT_COLUMN";"- Select Pivot Column -";"- Izberite vrtilni stolpec -"
"APEXIR_VIEW_PIVOT";"View Pivot";"Poglej pivot"
"APEXIR_HELP_SELECT_COLUMNS";"Used to modify the columns displayed. The columns on the right are displayed. The columns on the left are hidden. You can reorder the displayed columns using the arrows on the far right. Computed columns are prefixed with <b>**</b>.";"Se uporablja za spreminjanje prikaza stolpcev. Stolpci na desni so prikazani. Stolpci na levi so skriti. Z uporabo puščic na skrajni desni lahko spremenite tudi vrstni red prikazanih stolpcev. Izračunljivi stolpci imajo predpono <b>**</b>."
"APEXIR_HIGHLIGHTS";"Highlights";"Poudarki"
"APEXIR_INTERACTIVE_REPORT_HELP";"Interactive Report Help";"Interaktivna poročila - pomoč"
"APEXIR_IS_NOT_IN_THE_NEXT";"%0 is not in the next %1";"%0 ni vsebovano v naslednjem %1"
"APEXIR_MAX_X";"Maximum %0";"Maksimalno %0"
"APEXIR_SELECT_COLUMN";"- Select Column -";"- Izberi stolpec -"
"APEX.DATA_HAS_CHANGED";"Current version of data in database has changed since user initiated update process. current checksum = "%0" application checksum = "%1"";"Trenutna verzija podatkov v bazi se je spremenila, od takrat ko je uporabnik sporočil proces ažuriranja. Trenutna kontrolna vsota = "%0" aplikacijska kontrolna vsota = "%1"."
"APEX.DATEPICKER_VALUE_GREATER_MAX_DATE";"#LABEL# is greater than specified maximum date %0.";"#LABEL# je večji od navedenega največjega datuma %0."
"APEX.DATEPICKER_VALUE_INVALID";"#LABEL# does not match format %0.";"#LABEL# napačen format datuma %0."
"APEX.GO_TO_ERROR";"Go to error.";"Pojdi na napako"
"APEXIR_AGG_AVG";"Average";"Povprečje"
"APEXIR_AGG_SUM";"Sum";"Seštevek"
"APEXIR_AS_OF";"As of %0";"Od %0"
"APEXIR_BETWEEN";"between";"med"
"APEXIR_COLUMN_HEADING";"Column Heading";"Naslov stolpca"
"APEXIR_COLUMN_INFO";"Column Information";"Informacija o stolpcu"
"APEXIR_COMPUTATION_FOOTER";"Create a computation using column aliases.";"Kreirajte izračun z uporabo prestolničnega psevdonima."
"APEXIR_COUNT_DISTINCT_X";"Count Distinct";"Število različnih"
"APEXIR_DIRECTION";"Direction";"Smre"
"APEXIR_DISPLAYED_COLUMNS";"Displayed Columns";"Prikaži stolpce"
"APEXIR_DOWNLOAD";"Download";"Prenesi"
"APEXIR_EDIT_HIGHLIGHT";"Edit Highlight";"Urejanje izpostavljanja"
"APEXIR_EMAIL";"Email";"E-naslov"
"APEXIR_EMAIL_NOT_CONFIGURED";"Email has not been configured for this application. Please contact your administrator.";"Za to aplikacijo naslov elektronske pošte ni nastavljen. Prosimo kontrktirajte administratorja."
"APEXIR_EMAIL_TO";"To";"Za"
"APEXIR_ENABLE";"Enable";"Omogoči"
"APEXIR_EXAMPLES_WITH_COLON";"Examples:";"Primeri:"
"APEXIR_FUNCTIONS_OPERATORS";"Functions / Operators";"Funkcije / Operatorji"
"APEXIR_HELP_DOWNLOAD";"Allows the current result set to be downloaded. The download formats will differ depending upon your installation and report definition but may include CSV, XLS, PDF, or RTF.";"Dovoli prenos trenutnega nabora podatkov. Oblika datoteke prenosa je odvisna od načina postavitve. Definicija poročila je lahko oblike CSV, XLS, PDF n RTF."
"APEXIR_SORT";"Sort";"Razvrsti"
"APEXIR_TOP";"Top";"Vrh"
"APEXIR_UNAUTHORIZED";"Unauthorized";"Nepooblaščeno"
"APEXIR_UNIQUE_HIGHLIGHT_NAME";"Highlight Name must be unique.";"Naziv izpostavljanja mora biti enoznačno."
"APEXIR_VALUE";"Value";"Vrednost"
"APEXIR_VCOLUMN";"Vertical Column";"Vertikalni stolpec"
"IR_AS_NAMED_REPORT";"As Named Report";"Kot poimenovano poročilo"
"LAYOUT.T_CONDITION_EXPR2";"Expression 2";"Izraz 2"
"PAGINATION.NEXT";"Next";"Naprej"
"WWV_FLOW_UTILITIES.CAL";"Calendar";"Koledar"
"APEX.AUTHENTICATION.LOGIN_THROTTLE.ERROR";"The login attempt has been blocked.";"Poskus prijave je bil blokiran."
"APEXIR_ALL_ROWS";"All Rows";"Vse vrstice"
"APEXIR_DUPLICATE_PIVOT_COLUMN";"Duplicate pivot column. Pivot column list must be unique.";"Podvojen stolpec za vrtilno tabelo. Stolpci morajo biti unikatni."
"APEXIR_INVALID_FILTER";"Invalid filter expression. %0";"Neveljaven filter izraz. %0"
"APEXIR_INVALID_SETTING";"1 invalid setting";"1 nepravilna nastavitev"
"APEXIR_PIVOT_SORT";"Pivot Sort";"Vrtilno razvrščanje"
"APEXIR_REMOVE_CHART";"Remove Chart";"Odstrani grafikon"
"APEXIR_REPORT_ALIAS_DOES_NOT_EXIST";"Saved Interactive report with alias %0 does not exist.";"Shranjeno interaktivno poročilo s psevdonimom %0 ne obstaja."
"APEXIR_REPORT_DISPLAY_COLUMN_LIMIT_REACHED";"The number of display columns in the report reached the limit. Please click Select Columns under Actions menu to minimize the report display column list.";"Število prikazan stolpec v poročilu je doseglo limit. Prosim izberite Izberite Stolpce v akcijskem meniju, da tako zmanjšate število prikazanih stolpcev."
"APEXIR_SEARCH_COLUMN";"Search: %0";"Iskanje: %0"
"APEXIR_SEND";"Send";"Pošlji"
"APEXIR_NO_END_DATE";"- No End Date -";"- Ni datuma konca -"
"APEXIR_NUMERIC_SEQUENCE";"Sequence must be numeric.";"Sekvenca mora biti numerična"
"APEXIR_OTHER";"Other";"Drugo"
"APEXIR_REMOVE_CONTROL_BREAK";"Remove Control Break";"Odstrani prelom"
"APEXIR_REMOVE_HIGHLIGHT";"Remove Highlight";"Odstrani izpostavljanje"
"APEXIR_REPORT_SETTINGS";"Report Settings";"Nastavitve poročila"
"APEXIR_RESET";"Reset";"Ponastavi"
"APEXIR_HIGHLIGHT_CONDITION";"Highlight Condition";"Pogoj izpostavljanja"
"APEXIR_INVALID_COMPUTATION";"Invalid computation expression. %0";"Neveljaven izraz za izračun. %0"
"APEXIR_LAST_X_HOURS";"Last %0 Hours";"Zadnjih %0 ur"
"APEXIR_LINE";"Line";"Vrstica"
"APEXIR_MIN_X";"Minimum %0";"Minimum %0"
"APEXIR_ROW_TEXT_CONTAINS";"Row text contains";"Vrstica vsebuje tekst"
"APEXIR_SAVE_AS_DEFAULT";"Save as Default";"Shrani kot privzeto"
"APEXIR_SAVED_REPORT_MSG";"Saved Report = "%0"";"Shranjeno poročilo = "%0""
"APEXIR_SELECT_CATEGORY";"- Select Category -";"- Izberi kategorijo -"
"APEX.NUMBER_FIELD.VALUE_GREATER_MAX_VALUE";"#LABEL# is greater than specified maximum %0.";"#LABEL# je večji od navede največje vrednosti %0."
"APEXIR_ACTIONS";"Actions";"Akcije"
"APEXIR_ADD";"Add";"Dodaj"
"APEXIR_ADD_SUBSCRIPTION";"Add Subscription";"Dodaj naročanje"
"APEXIR_AGG_MEDIAN";"Median";"Mediana"
"APEXIR_APPLY";"Apply";"Uveljavi"
"APEXIR_COLUMN_HEADING_MENU";"Column Heading Menu";"Meni za naziv stolpca"
"APEXIR_COMPARISON_IS_NULL";"is null";"prazna vrednost (null)"
"APEXIR_COUNT_DISTINCT";"Count Distinct";"Število različnih"
"APEXIR_DELETE_CHECKED";"Delete Checked";"Izbriši označene"
"APEXIR_DELETE_REPORT";"Delete Report";"Izbriši poročilo"
"APEXIR_DESCENDING";"Descending";"Padajoče"
"APEXIR_DESCRIPTION";"Description";"Opis"
"APEXIR_EXPRESSION";"Expression";"Izraz"
"APEXIR_FORMAT";"Format Mask";"Oblika"
"APEXIR_FUNCTION";"Function";"Funkcija"
"APEXIR_GO";"Go";"Potrdi"
"APEXIR_HCOLUMN";"Horizontal Column";"Horizontalni stolpec"
"APEXIR_HELP_DETAIL_VIEW";"To view the details of a single row at a time, click the single row view icon on the row you want to view. If available, the single row view will always be the first column. Depending on the customization of the Interactive Report, the single row view may be the standard view or a custom page that may allow update.";"Za vpogled podrobnosti enega zapisa, pritisnite na ikono v vrstici, ki jo želite pogledati. Če je pogled omogočen, je ikona vedno v prvem stolpcu. Glede na nastavitve interaktivnega poročila, je lahko vpogled v en zapis prikazan kot standardni vpogled ali pa se prikaže kot prilagojena stran, ki omogoča urejanje."
"APEXIR_HELP_HIGHLIGHT";"Highlighting allows you to define a filter. The rows that meet the filter are highlighted using the characteristics associated with the filter.<p/><ul><li><b>Name</b> is used only for display.</li><li><b>Sequence</b> identifies the sequence in which the rules will be evaluated.</li><li><b>Enabled</b> identifies if the rule is enabled or disabled.</li><li><b>Highlight Type</b> identifies whether the Row or Cell should be highlighted. If Cell is selected, the column referenced in the Highlight Condition is highlighted.</li><li><b>Background Color</b> is the new color for the background of the highlighted area.</li><li><b>Text Color</b> is the new color for the text in the highlighted area.</li><li><b>Highlight Condition</b> defines your filter condition.</li></ul>";"Osvetljevanje vam omogoča definiranje filtra. Vrstice, ki ustrezajo kriterijem v filtru so osvetljene z lastnostmi, ki so povezane s tem filtrom. 
<p/> 
<ul><li><b>Ime</b> se uporablja samo za prikaz.</li> 
<li><b>Sekvenca</b> vrstni red v katerem se upoštevajo pravila.</li> 
<li><b>Omogočeno</b> ali je pravilo omogočeno ali onemogočeno.</li> 
<li><b>Tip osvetljevanja</b> določa ali naj bo vrstica oz. celica osvetljena. Če je izbrana celica, potem se osvetli vrstica, ki se jo naslavlja v pogoju osvetljevanja.</li> 
<li><b>Barva ozadja</b> je nova barva ozadja področja, ki se ga osvetljuje.</li> 
<li><b>Barva teksta</b> je nova barva teksta v področju, ki se ga osvetljuje.</li> 
<li><b>Pogoj osvetljevanja</b> določi pogoj filtriranja.</li></ul>"
"APEXIR_SPACE_AS_IN_ONE_EMPTY_STRING";"space";"presledek"
"APEXIR_STATUS";"Status";"Status"
"APEXIR_TIME_DAYS";"days";"dni"
"APEXIR_X_WEEKS";"%0 weeks";"%0 tednov"
"APEXIR_YELLOW";"yellow";"rumeno"
"FLOW.VALIDATION_ERROR";"%0 errors have occurred";"Prišlo je do %0 napak."
"OUT_OF_RANGE";"Invalid set of rows requested, the source data of the report has been modified.";"Zahtevan sklop podatkov je napačen, izvorni podatki poročila so bili spremenjeni."
"REPORT_TOTAL";"report total";"vsota poročila"
"REPORTING_PERIOD";"Reporting Period";"Obdobje poročanja"
"SINCE_HOURS_FROM_NOW";"%0 hours from now";"%0 ur od sedaj"
"SINCE_MONTHS_AGO";"%0 months ago";"pred %0 meseci"
"SINCE_WEEKS_AGO";"%0 weeks ago";"pred %0 tedni"
"APEX.ITEM_TYPE.YES_NO.YES_LABEL";"Yes";"Da"
"APEXIR_COMPUTATION_EXPRESSION";"Computation Expression";"Izraz za izračun."
"APEXIR_HELP_PIVOT";"You can define one Pivot view per saved report. Once defined, you can switch between the pivot and report views using view icons on the Search bar. To create a Pivot view, you select: <p></p> <ul> <li>the columns on which to pivot</li> <li>the columns to display as rows</li> <li>the columns to aggregate along with the function to be performed (average, sum, count, etc.)</li> </ul>";"Določite lahko en pogled za vrtilno tabelo na shranjeno poročilo. Ko je enkrat določen, lahko preklapljate med pogledom za vrtilno tabelo in klasično obliko s pritiskom na ikono za vpogled v iskalni vrstici. Za kreiranje pogleda za vrtilno tabelo izberite: <p></p><ul> <li>stolpce, kij potrebujete za vrtilno tabelo</li> <li>stolpce na katerih se dela agregacija skupaj z želeno fukcijo (average, sum, count, itd.)</li> </ul>"
"APEXIR_HELP_SEARCH_BAR_TEXTBOX";"<li><b>Text area</b> enables you to enter case insensitive search criteria (wild card characters are implied).</li> <li><b>Go button</b> executes the search. Hitting the enter key will also execute the search when the cursor is in the search text area.</li>";"<li><b>Tekstovno področje</b> omogoča vnos (neobčutljiv na velike in male črke) iskalnega kriterija (lahko se uporabi tudi nadomestne znake).</li> <li><b>Gumb Pojdi</b> Izvrši iskanje. Tipka Enter bo prav tako izvršila iskanje, vendar le v primeru da je kurzor v področju za iskanje.</li>"
"APEXIR_HELP_SEARCH_BAR_VIEW";"<li><b>View Icons</b> switches between the icon, report, detail, chart, group by, and pivot views of the report if they are defined.</li>";"<li><b>Pogled Ikone</b> preklop med različni pogledi, če so definirani (ikona, poročilo, podrobno, graf, grupiranje in vrtilni pogled)</li>"
"APEXIR_PIVOT_COLUMN_NOT_NULL";"Pivot column must be specified.";"Določiti je potrebno stolpce za vrtilno tabelo."
"APEXIR_RENAME_DEFAULT_REPORT";"Rename Default Report";"Preimenuj privzeto poročilo"
"APEXIR_HELP_RESET";"Resets the report back to the default settings, removing any customizations that you have made.";"Po nastavi poročilo nazaj na privzete nastavitve. Odstrani tudi vse prilagoditve, ki so bile narejene."
"APEXIR_NEXT_YEAR";"Next Year";"Naslednje leto"
"APEXIR_NO_COMPUTATION_DEFINED";"No computation defined.";"Izračun ni določen."
"APEXIR_PERCENT_OF_TOTAL_COUNT_X";"Percent of Total Count %0 (%)";"Odstotek od skupnega seštevka %0 (%)"
"APEXIR_PERCENT_TOTAL_COUNT";"Percent of Total Count";"Odstotek od skupne vsote"
"APEXIR_PREVIOUS";"&lt;";"&lt;"
"APEXIR_REMOVE_AGGREGATE";"Remove Aggregate";"Odstrani agregacijo"
"APEXIR_REPORT_DOES_NOT_EXIST";"Report does not exist.";"Poročilo ne obstaja."
"APEXIR_REPORTS";"Reports";"Poročila"
"APEXIR_RESET_CONFIRM";"Restore report to the default settings.";"Obnovi poročilo na privzete nastavitve."
"APEXIR_ROW_OF";"Row %0 of %1";"Vrstica %0 od %1"
"APEXIR_HIGHLIGHT";"Highlight";"Poudarek"
"APEXIR_IS_NOT_IN_THE_LAST";"%0 is not in the last %1";"%0 ni v zadnjem %1"
"APEXIR_LABEL_AXIS_TITLE";"Axis Title for Label";"Naslov osi za Naziv"
"APEXIR_MAX_QUERY_COST";"The query is estimated to exceed the maximum allowed resources. Please modify your report settings and try again.";"Poizvedba je ocenjena, kot da bo prekoračila vse dovoljene vire. Prosimo spremenite nastavitve vašega poročila in poskusite znova."
"APEXIR_MEDIAN_X";"Median %0";"Mediana %0"
"APEXIR_MIN_AGO";"%0 minutes ago";"%0 minut nazaj"
"APEXIR_NEW_AGGREGATION";"New Aggregation";"Nova agregacija"
"APEXIR_NEW_CATEGORY";"- New Category -";"- Nova kategorija -"
"APEXIR_SELECT_COLUMNS";"Select Columns";"Izberi Stolpce"
"APEXIR_SELECT_COLUMNS_FOOTER";"Computed columns are prefixed with **.";"Stolpci za izračun imajo predpono *"
"4150_COLUMN_NUMBER";"Column %0";"Stolpec %0"
"APEX.DATEPICKER_VALUE_NOT_IN_YEAR_RANGE";"#LABEL# is not within valid year range of %0 and %1.";"#LABEL# ni med dovoljeno vrednostjo leta od %0 do %1."
"APEXIR_AGG_COUNT";"Count";"Število"
"APEXIR_ALTERNATIVE";"Alternative";"Alternativa"
"APEXIR_CANCEL";"Cancel";"Prekliči"
"APEXIR_CHART_INITIALIZING";"Initializing...";"Inicializiram..."
"APEXIR_CHOOSE_DOWNLOAD_FORMAT";"Choose report download format";"Izberite obliko prenosa"
"APEXIR_COMPARISON_CONTAINS";"contains";"vsebuje"
"APEXIR_DETAIL_VIEW";"Single Row View";"Poglej eno vrstico"
"APEXIR_DISABLE";"Disable";"Onemogoči"
"APEXIR_DISPLAYED";"Displayed";"Prikazano"
"APEXIR_EMAIL_SUBJECT";"Subject";"Predmet"
"APEXIR_ERROR";"Error";"Napaka"
"APEXIR_EXPAND_COLLAPSE_ALT";"Expand/Collapse";"Razširi/Skrči"
"APEXIR_FINDER_ALT";"Select columns to search";"Izberi stolpce za iskanje."
"APEXIR_HELP_AGGREGATE";"Aggregates are mathematical computations performed against a column. Aggregates are displayed after each control break and at the end of the report within the column they are defined.<p/><ul><li><b>aggregation</b> allows you to select a previously defined aggregation to edit.</li><li><b>Function</b> is the function to be performed (e.g. SUM, MIN).</li><li><b>Column</b> is used to select the column to apply the mathematical function to. Only numeric columns will be displayed.</li></ul>";"Agregacije so matematični izračuni, ki se lahko izvedejo nad posameznim stolpcem. Agregacija se prikaže za vsakim prelomom ter na koncu poročila pod stolpcem za katerega je definiran.  
<p/> 
<ul><li><b>Agregacija</b> omogoča urejanje predhodno definiranih agregacij.</li> 
<li><b>Funkcija</b> je funkcija, ki bo izvedena (npr. SUM, MIN).</li> 
<li><b>Stolpec</b> se uporablja za izbiro stolpca nad katerim bo narejena matematična funkcija. Prikazani so samo numerični stolpci.</li></ul>"
"APEXIR_TEXT_COLOR";"Text Color";"Barva besedila"
"APEXIR_VALID_COLOR";"Please enter a valid color.";"Prosim vnesite veljavno barvo."
"APEXIR_X_DAYS";"%0 days";"%0 dni"
"APEXIR_YES";"Yes";"Da"
"IR_AS_DEFAULT_REPORT_SETTING";"As Default Report Settings";"Kot privzete nastavitve poročila"
"IR_STAR";"Only displayed for developers";"Prikaže se samo razvijalcem"
"PAGINATION.PREVIOUS_SET";"Previous Set";"Prejšnji set"
"SINCE_MINUTES_FROM_NOW";"%0 minutes from now";"%0 minut od sedaj"
"SINCE_MONTHS_FROM_NOW";"%0 months from now";"%0 mesecev od sedaj"
"WWV_FLOW_UTILITIES.OK";"Ok";"V redu"
"APEX.AUTHENTICATION.LOGIN_THROTTLE.COUNTER";"Please wait <span id="apex_login_throttle_sec">%0</span> seconds to login again.";"Prosimo počakajte <span id="apex_login_throttle_sec">%0</span> sekund za ponovno prijavo."
"APEX.ITEM_TYPE.YES_NO.INVALID_VALUE";"#LABEL# must match to the values %0 and %1.";"#LABEL# se mora ujemati z vrednostjo %0 in %1."
"APEXIR_ADD_FUNCTION";"Add Function";"Dodaj funkcijo"
"APEXIR_CHECK_ALL";"Check All";"Označi vse"
"APEXIR_COLUMN_N";"Column %0";"Stolpec %0"
"APEXIR_EMAIL_REQUIRED";"Email Address must be specified.";"Vpisati morate naslov elektronske pošte."
"APEXIR_EMAIL_SUBJECT_REQUIRED";"Email Subject must be specified.";"E-pošta: Zadeva mora biti določena."
"APEXIR_FUNCTION_N";"Function %0";"Funkcija %0"
"APEXIR_GROUP_BY_MAX_ROW_CNT";"The maximum row count for a Group By query limits the number of rows in the base query, not the number of rows displayed. Your base query exceeds the maximum row count of %0. Please apply a filter to reduce the number of records in your base query.";"Največje število vrstic za grupacijo omejuje število vrstic v osnovi poizvedbi in ne število vrstic, ki so prikazane. Vaša osnovna poizvedba presega največje dovoljeno število vrstic (%0) za prikaz. Prosimo prilagoditev pogoje iskanja in s tem zmanjšajte število zapisov v osnovi poizvedbi."
"APEXIR_INACTIVE_SETTINGS";"%0 inactive settings";"%0 neaktivnih nastavitev"
"APEXIR_PIVOT_COLUMNS";"Pivot Columns";"Vrtilni stolpci"
"APEXIR_REPORT_ID_DOES_NOT_EXIST";"Saved Interactive Report ID %0 does not exist.";"Shranjeno interaktivno poročilo št. %0 ne obstaja."
"APEXIR_HELP_REPORT_SETTINGS";"If you have customized your Interactive Report, the report settings will be displayed below the Search Bar and above the report. If you have saved customized reports, they will be shown as tabs. You can access your alternate views by clicking the tabs. Below the tabs are the report settings for the current report. This area can be collapsed and expanded using the icon on the left.<p/>For each report setting, you can:<ul><li><b>Edit</b> by clicking the name.</li><li><b>Disable/Enable</b> by unchecking or checking the Enable/Disable check box. This is used to temporarily turn off and on the setting.</li><li><b>Remove</b> by click the Remove icon. This permanently removes the setting.</li></ul><p/>If you have created a chart, you can toggle between the report and chart using the Report View and Chart View links shown on the right. If you are viewing the chart, you can also use the Edit Chart link to edit the chart settings.";"Če prilagajte vaše interaktivno poročilo, bodo nastavitve prikazane pod iskalno vrstico in nad samim poročilom. Če shranite prirejena poročila, bodo le-ta prikazana v zavihkih. Do vaših alternativnih poročil lahko dostopate s klikom na zavihke. Pod zavihki so prikazane nastavitve za trenutno poročilo. To področje lahko skrčite ali razširite s klikom na ikono na levi strani. 
<p/> 
Za vsako nastavitev poročila lahko: 
<ul><li><b>Uredite</b> s klikom na ime.</li> 
<li><b>Onemogočite/Omogočite</b> z nastavljanjem Omogoči/Onemogoči nastavitvenega polja . S tem lahko začasno izključite posamezno nastavitev.</li> 
<li><b>Odstrani</b> s klikom na ikono odstrani. S tem permanetno odstranite nastavitev.</li></ul> 
<p/> 
Če ste narediti graf, lahko prekljapljate med poročilom in grafom tako da uporabite povezavi Pogled poročila in Pogled grafa na desni strani. Če pregledujete graf, potem lahko uporabite tudi možnost Urejanje grafa."
"APEXIR_NEXT_HOUR";"Next Hour";"Naslednja ura"
"APEXIR_NEXT_MONTH";"Next Month";"Naslednji mesec"
"APEXIR_PERCENT_OF_TOTAL_SUM_X";"Percent of Total Sum %0 (%)";"Odstotek od skupne vsote %0 (%)"
"APEXIR_PIE";"Pie";"Pita"
"APEXIR_PRIMARY_REPORT";"Primary Report";"Primarno poročilo"
"APEXIR_REPORT";"Report";"Poročilo"
"APEXIR_HELP_SORT";"Used to change the column(s) to sort on and whether to sort ascending or descending. You can also specify how to handle nulls (use the default setting, always display them last or always display them first). The resulting sorting is displayed to the right of column headings in the report.";"Se uporablja za izbiro stolpcev po katerih se izvaja razvrščanje in za nastavljanje smeri razvrščanja(naraščajoče ali padajoče). Določite lahko tudi kje bodo prikazane prazne vrednosti - null (uporabite privzete nastavitve, jih prikazujte vedno na začetku ali pa vedno na koncu razvrščanja). Izbrano razvrščanje je prikazano v poročilu desno od imen stolpcev."
"APEXIR_HIGHLIGHT_WHEN";"Highlight When";"Izpostavljanje ko"
"APEXIR_LAST_X_YEARS";"Last %0 Years";"Prejšnjih %0 let"
"APEXIR_LAST_YEAR";"Last Year";"Prejšnje leto"
"APEXIR_MOVE_ALL";"Move All";"Premakni vse"
"APEXIR_NEW_COMPUTATION";"New Computation";"Nov izračun"
"APEXIR_SAVE_REPORT";"Save Report";"Shrani poročilo"
"APEXIR_SAVED_REPORT";"Saved Report";"Shranjena poročila"
"APEXIR_SEARCH_REPORT";"Search Report";"Išči"
"APEX.FILE_BROWSE.DOWNLOAD_LINK_TEXT";"Download.";"Prenesi"
"APEX.PAGE_ITEM_IS_REQUIRED";"#LABEL# must have some value.";"Obvezen vnos"
"APEXIR_AGG_MIN";"Minimum";"Minimum"
"APEXIR_AGGREGATION";"Aggregation";"Združevanje"
"APEXIR_AND";"and";"in"
"APEXIR_BGCOLOR";"Background Color";"Barva ozadja"
"APEXIR_BOTTOM";"Bottom";"Dno"
"APEXIR_CALENDAR";"Calendar";"Koledar"
"APEXIR_CHART";"Chart";"Graf"
"APEXIR_CHART_TYPE";"Chart Type";"Tip grafikona"
"APEXIR_COMPARISON_IS_IN_NEXT";"is in the next";"je vsebovan v naslednjem"
"APEXIR_COMPUTATION_FOOTER_E1";"(B+C)*100";"(B+C)*100"
"APEXIR_COMPUTATION_FOOTER_E3";"CASE WHEN A = 10 THEN B + C ELSE B END";"CASE WHEN A = 10 THEN B + C ELSE B END"
"APEXIR_CONTROL_BREAKS";"Control Breaks";"Prelomi"
"APEXIR_COUNT_X";"Count %0";"Število %0"
"APEXIR_DAILY";"Daily";"Dnevno"
"APEXIR_DATA_AS_OF";"Report data as of %0 minutes ago.";"Podatki poročila od %0 minut nazaj."
"APEXIR_DATE";"Date";"Datum"
"APEXIR_DISPLAY";"Display";"Prikaži"
"APEXIR_DOWN";"Down";"Dol"
"APEXIR_EDIT_FILTER";"Edit Filter";"Uredi filter"
"APEXIR_EMAIL_BCC";"Bcc";"Skp"
"APEXIR_EMAIL_BODY";"Body";"Telo"
"APEXIR_GREEN";"green";"zelena"
"APEXIR_GROUP_BY_COLUMN";"Group By Column";"Grupiraj po stolpcu"
"APEXIR_HELP";"Help";"Pomoč"
"APEXIR_HELP_CONTROL_BREAK";"Used to create a break group on one or several columns. This pulls the columns out of the Interactive Report and displays them as a master record.";"Uporablja se za kreiranje prelomnih skupin nad enim ali večimi stolpci. To prestavi stolpce iz Interaktivnega Poročila in jih prikaže kot nadrejen zapis."
"APEXIR_SUBSCRIPTION_ENDING";"Ending";"Zaključek"
"APEXIR_SUBSCRIPTION_STARTING_FROM";"Starting From";"Začni z"
"APEXIR_UNSUPPORTED_DATA_TYPE";"unsupported data type";"nepodprt podatkovni tip"
"APEXIR_VIEW_REPORT";"View Report";"Poglej poročilo"
"FLOW.SINGLE_VALIDATION_ERROR";"1 error has occurred";"Prišlo je do 1 napake."
"PAGINATION.NEXT_SET";"Next Set";"Naslednji set"
"PAGINATION.PREVIOUS";"Previous";"Predhodni"
"RESET";"Reset Pagination";"ponastavi paginacijo"
"SAVED_REPORTS.PRIMARY.DEFAULT";"Primary Default";"Primarno privzeto"
"SINCE_YEARS_AGO";"%0 years ago";"pred %0 leti"
"TOTAL";"Total";"Skupaj"
"APEX.ITEM_TYPE.SLIDER.VALUE_NOT_MULTIPLE_OF_STEP";"#LABEL# is not a multiple of %0.";"#LABEL# ni večkratnik od %0."
"APEX.ITEM_TYPE.YES_NO.NO_LABEL";"No";"Ne"
"APEXIR_ADD_ROW_COLUMN";"Add Row Column";"Dodaj vrstico stolpec"
